run_dir,setting,language_mode,language,model_family,seed,eval_language,macro_f1_normal,macro_f1_first,delta_macro_f1_first,macro_f1_last,delta_macro_f1_last,macro_f1_both,delta_macro_f1_both,macro_f1_both_n_mask,delta_macro_f1_both_n_mask,delta_macro_f1_both_n_minus_both
one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,one_shot,multilingual,EN_PT_GL,logreg_tfidf,51,EN,0.6424179126151235,0.6273253226524255,-0.015092589962698022,0.624897761605101,-0.017520151010022467,0.6036942249916546,-0.038723687623468894,0.6077836970331899,-0.03463421558193358,0.004089472041535314
one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,one_shot,multilingual,EN_PT_GL,logreg_tfidf,51,GL,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,one_shot,multilingual,EN_PT_GL,logreg_tfidf,51,PT,0.3802395209580838,0.3802395209580838,0.0,0.3802395209580838,0.0,0.3802395209580838,0.0,0.3802395209580838,0.0,0.0
