model_family,eval_language,run_dir_one,run_dir_zero,one_shot_overlap,zero_shot_overlap,gain,n_overlap
logreg_tfidf,EN,one_shot__EN__previous_target_next_True_none_empty__logreg_tfidf__seed51,zero_shot__EN__previous_target_next_True_none_empty__logreg_tfidf__seed51,0.6724951644100581,0.6608623036001484,0.011632860809909662,255
logreg_word2vec,EN,one_shot__EN__previous_target_next_True_none_empty__logreg_word2vec__seed51,zero_shot__EN__previous_target_next_True_none_empty__logreg_word2vec__seed51,0.6656588872263957,0.6567117988394584,0.008947088386937252,255
mBERT,EN,one_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,0.9686153846153847,0.8979623245506033,0.07065306006478134,255
logreg_tfidf,PT,one_shot__PT__previous_target_next_True_none_empty__logreg_tfidf__seed51,zero_shot__PT__previous_target_next_True_none_empty__logreg_tfidf__seed51,0.3795620437956205,0.3795620437956205,0.0,170
logreg_word2vec,PT,one_shot__PT__previous_target_next_True_none_empty__logreg_word2vec__seed51,zero_shot__PT__previous_target_next_True_none_empty__logreg_word2vec__seed51,0.3795620437956205,0.3795620437956205,0.0,170
mBERT,PT,one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,zero_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,0.7553030303030304,0.595683504312946,0.15961952599008433,170
