model_family,eval_language,run_dir_one,run_dir_zero,one_shot_overlap,zero_shot_overlap,gain,n_overlap
logreg_tfidf,EN,one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,0.6509803921568627,0.6389436099482886,0.01203678220857407,255
logreg_tfidf,PT,one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_tfidf__seed51,0.3795620437956205,0.3795620437956205,0.0,170
logreg_word2vec,EN,one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_word2vec__seed51,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_word2vec__seed51,0.6304119896385839,0.6450884572559692,-0.01467646761738528,255
logreg_word2vec,PT,one_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_word2vec__seed51,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__logreg_word2vec__seed51,0.3795620437956205,0.3795620437956205,0.0,170
mBERT,EN,one_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,0.9882345703695729,0.9136178861788617,0.0746166841907111,255
mBERT,PT,one_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,zero_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,0.708170495635341,0.6343258236159856,0.0738446720193554,170
